timestamp,raw
2026-05-20T12:58:58,Particles > 1.0um / 0.1L air:66
2026-05-20T12:58:58,Particles > 2.5um / 0.1L air:8
2026-05-20T12:58:58,Particles > 5.0um / 0.1L air:0
2026-05-20T12:58:58,Particles > 10.0 um / 0.1L air:0
2026-05-20T12:59:59,-----------------------------------------
2026-05-20T13:00:00,PM 1.0:3
2026-05-20T13:00:00,PM 2.5:7
2026-05-20T13:00:00,PM  10:7
2026-05-20T13:00:00,PM 1.0:3
2026-05-20T13:00:00,PM 2.5:7
2026-05-20T13:00:00,PM  10:7
2026-05-20T13:00:00,Particles > 0.3um / 0.1L air:435
2026-05-20T13:00:00,Particles > 0.5um / 0.1L air:372
2026-05-20T13:00:00,Particles > 1.0um / 0.1L air:58
2026-05-20T13:00:00,Particles > 2.5um / 0.1L air:6
2026-05-20T13:00:00,Particles > 5.0um / 0.1L air:0
2026-05-20T13:00:00,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:01:00,-----------------------------------------
2026-05-20T13:01:01,PM 1.0:3
2026-05-20T13:01:01,PM 2.5:7
2026-05-20T13:01:01,PM  10:7
2026-05-20T13:01:01,PM 1.0:3
2026-05-20T13:01:01,PM 2.5:7
2026-05-20T13:01:01,PM  10:7
2026-05-20T13:01:01,Particles > 0.3um / 0.1L air:441
2026-05-20T13:01:01,Particles > 0.5um / 0.1L air:376
2026-05-20T13:01:01,Particles > 1.0um / 0.1L air:62
2026-05-20T13:01:01,Particles > 2.5um / 0.1L air:8
2026-05-20T13:01:01,Particles > 5.0um / 0.1L air:0
2026-05-20T13:01:01,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:02:01,-----------------------------------------
2026-05-20T13:02:02,PM 1.0:3
2026-05-20T13:02:02,PM 2.5:6
2026-05-20T13:02:02,PM  10:6
2026-05-20T13:02:02,PM 1.0:3
2026-05-20T13:02:02,PM 2.5:6
2026-05-20T13:02:02,PM  10:6
2026-05-20T13:02:02,Particles > 0.3um / 0.1L air:457
2026-05-20T13:02:02,Particles > 0.5um / 0.1L air:348
